"rho_true","parameter","n_reps","bias","rmse","coverage","n"
0,"theta",1,0.0244719050780874,0.784124004906593,0.953333333333333,600
0,"eta",1,0.136769773039322,0.317802220148567,0.8,5
0,"alpha",1,0.13318574414791,0.302302698015706,1,7
0,"c",1,0.0149622098048385,0.0368503344559688,1,27
0,"Sigma_12",1,-0.170267165588133,0.170267165588133,1,1
0.3,"theta",1,-0.0769330770873697,0.677679258294225,0.965,600
0.3,"eta",1,-0.0151014166241817,0.118361823343981,1,5
0.3,"alpha",1,0.0806626756645273,0.308763436172172,1,7
0.3,"c",1,0.0144047770785531,0.0475050388253944,0.925925925925926,27
0.3,"Sigma_12",1,-0.0326372700694595,0.0326372700694595,1,1
0.6,"theta",1,0.0312068060796298,0.629050001488586,0.951666666666667,600
0.6,"eta",1,0.00216854610766528,0.147993876289163,1,5
0.6,"alpha",1,0.0599155069145802,0.139477543791793,1,7
0.6,"c",1,0.0194598070199929,0.0394544536078014,0.925925925925926,27
0.6,"Sigma_12",1,0.0510022544020539,0.0510022544020539,1,1
